Fig.2c.fw.Voltage (V),Fig.2c.fw.J (mA/cm2),Fig.2c.rv.Voltage (V),Fig.2c.rv.J (mA/cm2),Fig.3b.Planar.Voltage (V),Fig.3b.Planar.J (mA/cm),Fig.3b.Nano.Voltage (V),Fig.3b.Nano.J (mA/cm),Fig.3b.Micro.Voltage (V),Fig.3b.Micro.J (mA/cm)
,,,,0.19,16.9294,0.19,18.03307,0.19,18.28415
,,,,0.18,16.92765,0.18,18.04452,0.18,18.28893
,,,,0.17,16.93638,0.17,18.04431,0.17,18.29246
,,,,0.16,16.93918,0.16,18.05119,0.16,18.29839
,,,,0.15,16.94056,0.15,18.06045,0.15,18.30214
,,,,0.14,16.94356,0.14,18.05949,0.14,18.301
,,,,0.13,16.94919,0.13,18.06566,0.13,18.30838
,,,,0.12,16.94845,0.12,18.07429,0.12,18.3071
,,,,0.11,16.95073,0.11,18.0797,0.11,18.31318
,,,,0.1,16.95543,0.1,18.08158,0.1,18.3094
,,,,0.09,16.9572,0.09,18.09177,0.09,18.31218
,,,,0.08,16.9596,0.08,18.09396,0.08,18.31963
,,,,0.07,16.96407,0.07,18.10041,0.07,18.31897
,,,,0.06,16.96294,0.06,18.11218,0.06,18.32774
,,,,0.05,16.96667,0.05,18.1129,0.05,18.33431
,,,,0.04,16.97114,0.04,18.11645,0.04,18.33567
,,,,0.03,16.97115,0.03,18.12769,0.03,18.33941
,,,,0.02,16.97355,0.02,18.12924,0.02,18.33856
,,,,0.01,16.98026,0.01,18.13174,0.01,18.33773
,,,,0,16.97948,0,18.14079,0,18.34761
,,,,-0.01,16.97908,-0.01,18.14602,-0.01,18.34814
,,,,-0.02,16.99041,-0.02,18.14642,-0.02,18.35004
,,,,-0.03,16.9852,-0.03,18.15891,-0.03,18.36093
,,,,-0.04,16.98832,-0.04,18.15785,-0.04,18.36135
,,,,-0.05,16.98865,-0.05,18.16507,-0.05,18.37031
,,,,-0.06,16.98947,-0.06,18.17432,-0.06,18.38041
,,,,-0.07,16.99177,-0.07,18.17305,-0.07,18.38155
,,,,-0.08,16.99634,-0.08,18.17756,-0.08,18.38447
,,,,-0.09,16.99562,-0.09,18.19088,-0.09,18.38519
,,,,-0.1,16.99905,-0.1,18.19244,-0.1,18.38581
,,,,-0.11,17.00257,-0.11,18.18533,-0.11,18.39135
,,,,-0.12,17.00102,-0.12,18.20386,-0.12,18.39709
,,,,-0.13,17.00403,-0.13,18.2041,-0.13,18.39615
,,,,-0.14,17.00499,-0.14,18.20513,-0.14,18.40395
,,,,-0.15,17.00467,-0.15,18.21948,-0.15,18.4057
,,,,-0.16,17.01008,-0.16,18.21836,-0.16,18.40642
,,,,-0.17,17.01299,-0.17,18.22148,-0.17,18.4112
,,,,-0.18,17.01257,-0.18,18.23241,-0.18,18.41703
,,,,-0.19,17.01144,-0.19,18.23272,-0.19,18.41694
,,,,-0.2,17.01621,-0.2,18.23782,-0.2,18.42453
